id,ln_count,ln_finished,fi_done,fi_name
139,1491229,0,False,0_sorted_file_223.txt
140,1514313,0,False,0_sorted_file_224.txt
141,1535282,0,False,0_sorted_file_225.txt
142,1582946,0,False,0_sorted_file_226.txt
143,1595378,0,False,0_sorted_file_227.txt
144,1488507,0,False,0_sorted_file_228.txt
145,1497204,0,False,0_sorted_file_229.txt
146,1614535,0,False,0_sorted_file_23.txt
147,1477605,0,False,0_sorted_file_230.txt
148,1437843,0,False,0_sorted_file_231.txt
149,1536466,0,False,0_sorted_file_232.txt
150,1544380,0,False,0_sorted_file_233.txt
151,1569991,0,False,0_sorted_file_234.txt
152,1518770,0,False,0_sorted_file_235.txt
153,1499377,0,False,0_sorted_file_236.txt
154,1548760,0,False,0_sorted_file_237.txt
155,1532127,0,False,0_sorted_file_238.txt
156,1474154,0,False,0_sorted_file_239.txt
157,1640996,0,False,0_sorted_file_24.txt
158,1534452,0,False,0_sorted_file_240.txt
159,1540516,0,False,0_sorted_file_241.txt
160,1494469,0,False,0_sorted_file_242.txt
161,1549110,0,False,0_sorted_file_243.txt
162,1521242,0,False,0_sorted_file_244.txt
163,1566792,0,False,0_sorted_file_245.txt
164,1504591,0,False,0_sorted_file_246.txt
165,1297074,0,False,0_sorted_file_247.txt
166,1297074,0,False,0_sorted_file_248.txt
167,1152324,0,False,0_sorted_file_249.txt
168,1547284,0,False,0_sorted_file_25.txt
169,1569582,0,False,0_sorted_file_26.txt
170,1720546,0,False,0_sorted_file_27.txt
171,1574307,0,False,0_sorted_file_28.txt
172,1560595,0,False,0_sorted_file_29.txt
173,1612144,0,False,0_sorted_file_3.txt
174,1575586,0,False,0_sorted_file_30.txt
175,1590662,0,False,0_sorted_file_31.txt
176,1580504,0,False,0_sorted_file_32.txt
177,1690070,0,False,0_sorted_file_33.txt
178,1573642,0,False,0_sorted_file_34.txt
179,1528482,0,False,0_sorted_file_35.txt
180,1542304,0,False,0_sorted_file_36.txt
181,1596029,0,False,0_sorted_file_37.txt
182,1702331,0,False,0_sorted_file_38.txt
183,1611617,0,False,0_sorted_file_39.txt
184,1621296,0,False,0_sorted_file_4.txt
185,1568583,0,False,0_sorted_file_40.txt
186,1712492,0,False,0_sorted_file_41.txt
187,1607968,0,False,0_sorted_file_42.txt
188,1800496,0,False,0_sorted_file_43.txt
189,1586374,0,False,0_sorted_file_44.txt
190,1664520,0,False,0_sorted_file_45.txt
191,1631346,0,False,0_sorted_file_46.txt
192,1544096,0,False,0_sorted_file_47.txt
193,1556304,0,False,0_sorted_file_48.txt
194,1582124,0,False,0_sorted_file_49.txt
195,1525622,0,False,0_sorted_file_5.txt
196,1492454,0,False,0_sorted_file_50.txt
197,1529847,0,False,0_sorted_file_51.txt
198,1633075,0,False,0_sorted_file_52.txt
199,1544149,0,False,0_sorted_file_53.txt
200,1495334,0,False,0_sorted_file_54.txt
201,1614629,0,False,0_sorted_file_55.txt
202,1600513,0,False,0_sorted_file_56.txt
203,1613415,0,False,0_sorted_file_57.txt
204,1481971,0,False,0_sorted_file_58.txt
205,1544700,0,False,0_sorted_file_59.txt
206,1552438,0,False,0_sorted_file_6.txt
207,1534852,0,False,0_sorted_file_60.txt
208,1643166,0,False,0_sorted_file_61.txt
209,1550441,0,False,0_sorted_file_62.txt
210,1518358,0,False,0_sorted_file_63.txt
211,1691881,0,False,0_sorted_file_64.txt
212,1521682,0,False,0_sorted_file_65.txt
213,1574857,0,False,0_sorted_file_66.txt
214,1529513,0,False,0_sorted_file_67.txt
215,1558874,0,False,0_sorted_file_68.txt
216,1653990,0,False,0_sorted_file_69.txt
217,1546746,0,False,0_sorted_file_7.txt
218,1498992,0,False,0_sorted_file_70.txt
219,1527511,0,False,0_sorted_file_71.txt
220,1673233,0,False,0_sorted_file_72.txt
221,1620782,0,False,0_sorted_file_73.txt
222,1664031,0,False,0_sorted_file_74.txt
223,1648768,0,False,0_sorted_file_75.txt
224,1521065,0,False,0_sorted_file_76.txt
225,1695994,0,False,0_sorted_file_77.txt
226,1504828,0,False,0_sorted_file_78.txt
227,1627748,0,False,0_sorted_file_79.txt
228,1561021,0,False,0_sorted_file_8.txt
229,1525873,0,False,0_sorted_file_80.txt
230,1471308,0,False,0_sorted_file_81.txt
231,1464443,0,False,0_sorted_file_82.txt
232,1519288,0,False,0_sorted_file_83.txt
233,1541089,0,False,0_sorted_file_84.txt
234,1561894,0,False,0_sorted_file_85.txt
235,1435989,0,False,0_sorted_file_86.txt
236,1688290,0,False,0_sorted_file_87.txt
